100	1041
0 2 104.71
0 14 118.53
0 16 123.85
0 17 120.36
0 27 33.84
0 39 102.10
0 40 137.23
0 42 32.45
0 45 113.29
0 53 101.26
0 54 123.97
0 55 51.11
0 58 142.23
0 63 78.00
0 64 46.98
0 66 148.13
0 82 124.13
0 83 136.69
0 91 133.51
0 96 126.03
1 7 103.03
1 8 84.14
1 15 136.62
1 20 129.00
1 23 61.54
1 31 65.10
1 37 83.47
1 45 136.09
1 46 69.73
1 49 74.83
1 51 103.37
1 61 145.05
1 62 121.76
1 73 33.70
1 74 105.58
1 75 74.37
1 80 107.08
1 89 65.86
1 93 127.77
1 95 110.44
1 96 86.61
1 98 68.19
1 99 47.96
2 14 44.82
2 27 76.45
2 40 113.01
2 42 78.14
2 55 83.48
2 63 146.69
2 64 117.85
2 82 44.23
2 83 37.61
2 84 83.61
2 85 65.90
2 92 122.39
3 4 111.00
3 5 99.49
3 6 128.25
3 9 126.03
3 11 100.61
3 15 95.60
3 18 129.23
3 19 21.45
3 20 95.70
3 21 69.65
3 26 88.70
3 30 112.22
3 32 119.34
3 33 20.40
3 34 101.88
3 36 96.50
3 38 29.53
3 41 76.62
3 43 82.08
3 44 41.48
3 47 93.63
3 48 39.20
3 52 109.45
3 59 107.97
3 61 80.19
3 67 93.27
3 68 105.65
3 69 86.38
3 79 68.13
3 80 119.17
3 90 108.55
3 93 97.95
3 94 113.07
3 95 132.61
4 5 106.61
4 6 47.96
4 9 72.98
4 11 143.45
4 12 97.53
4 19 108.95
4 22 100.74
4 26 69.39
4 32 8.98
4 33 114.16
4 34 130.46
4 38 92.36
4 44 75.67
4 48 143.71
4 57 145.94
4 67 108.95
4 68 141.93
4 69 111.20
4 71 113.76
4 88 99.30
4 90 40.71
5 6 80.62
5 8 90.70
5 15 106.60
5 17 95.66
5 19 116.65
5 20 74.70
5 21 136.83
5 26 143.53
5 32 114.36
5 33 83.17
5 34 26.19
5 38 110.97
5 41 126.97
5 44 69.77
5 46 145.95
5 47 148.71
5 48 100.91
5 53 128.10
5 58 113.34
5 61 66.43
5 75 104.18
5 79 95.73
5 80 79.44
5 90 70.37
5 91 101.93
5 93 69.57
5 95 134.00
5 96 135.30
6 9 120.88
6 12 118.26
6 17 136.51
6 19 133.86
6 22 90.20
6 26 114.19
6 32 50.72
6 33 123.51
6 34 106.80
6 38 119.47
6 44 86.90
6 53 144.10
6 56 149.49
6 57 148.04
6 58 107.47
6 61 139.75
6 65 144.96
6 88 117.77
6 90 19.70
6 91 111.65
6 93 147.53
7 23 72.32
7 31 41.08
7 37 98.18
7 49 134.03
7 51 2.24
7 62 18.78
7 73 119.93
7 89 52.03
7 98 59.68
7 99 58.02
8 15 86.48
8 17 96.50
8 18 146.16
8 20 60.51
8 21 146.42
8 23 132.58
8 31 149.10
8 33 131.96
8 34 66.40
8 36 145.99
8 37 147.61
8 41 127.24
8 44 143.52
8 46 71.52
8 47 142.46
8 48 128.21
8 49 99.80
8 53 142.73
8 61 73.35
8 73 81.37
8 74 125.53
8 75 21.28
8 79 101.03
8 80 36.58
8 89 147.85
8 91 135.35
8 93 56.09
8 95 85.42
8 96 71.42
8 98 143.45
8 99 131.72
9 11 98.62
9 12 103.27
9 19 111.54
9 22 145.58
9 26 37.89
9 32 70.96
9 33 139.73
9 38 97.02
9 43 149.69
9 44 111.67
9 52 137.13
9 67 62.82
9 68 93.65
9 69 70.00
9 71 61.75
9 88 108.13
9 90 112.05
9 97 88.26
10 12 105.68
10 13 87.77
10 22 144.31
10 28 113.93
10 57 87.21
10 60 72.76
10 65 139.00
10 71 140.47
10 72 80.01
10 76 66.38
10 78 32.91
10 81 46.08
10 88 104.51
11 19 79.31
11 21 138.57
11 24 80.08
11 26 75.58
11 30 97.41
11 32 147.18
