100 481
0 21 55.62
0 33 59.63
0 35 12.87
0 40 71.63
0 42 64.59
0 57 80.94
0 82 19.33
0 88 87.00
0 89 91.68
0 91 69.17
0 93 74.73
0 95 93.72
1 13 95.86
1 17 96.19
1 26 35.92
1 33 81.32
1 42 73.80
1 44 98.65
1 46 41.72
1 75 70.18
1 78 89.82
1 81 81.87
1 98 55.62
2 16 96.16
2 19 36.10
2 25 56.19
2 28 16.72
2 31 23.02
2 58 99.39
2 70 51.14
2 81 77.23
2 85 15.25
2 88 81.51
2 96 43.83
2 99 10.67
3 37 73.18
3 41 88.90
3 43 65.46
3 52 40.01
3 56 66.89
3 62 35.21
3 65 26.75
3 71 83.27
3 74 57.84
3 97 39.54
4 24 81.91
4 48 25.75
4 49 57.37
4 50 73.93
4 53 86.63
4 60 73.30
4 83 47.77
4 92 70.39
4 95 74.41
5 9 20.09
5 10 97.30
5 11 57.89
5 29 44.07
5 32 11.42
5 61 96.12
5 76 99.73
5 79 25.69
6 11 66.76
6 18 99.75
6 29 87.99
6 34 70.16
6 45 49.86
6 54 36.41
6 55 83.29
6 76 68.78
6 80 44.17
6 87 93.58
7 15 95.48
7 64 98.76
7 69 66.29
7 84 41.36
7 94 64.92
8 9 94.66
8 10 98.82
8 16 62.82
8 20 5.09
8 32 98.01
8 36 27.76
8 58 49.31
8 61 65.88
8 79 87.41
8 90 29.16
9 10 77.29
9 11 59.99
9 17 91.69
9 20 99.68
9 29 29.00
9 32 8.73
9 45 96.70
9 61 78.41
9 79 7.91
10 17 19.76
10 19 88.41
10 29 67.08
10 32 86.02
10 45 85.42
10 58 79.92
10 61 34.80
10 79 72.10
10 81 92.16
10 98 61.50
11 29 48.14
11 32 57.48
11 45 78.10
11 54 87.01
11 55 93.03
11 76 47.65
11 79 67.40
11 87 94.58
12 14 36.84
12 23 52.56
12 30 47.55
12 34 77.15
12 55 74.05
12 66 66.77
12 73 44.72
12 87 80.64
13 26 94.40
13 27 29.91
13 33 97.74
13 44 59.85
13 46 57.60
13 47 50.36
13 75 27.74
13 78 74.17
14 18 68.79
14 23 89.32
14 30 83.37
14 34 57.09
14 51 88.14
14 55 93.63
14 73 78.98
15 22 94.86
15 39 45.73
15 41 95.75
15 52 98.18
15 56 51.61
15 67 94.32
15 68 50.70
15 71 79.37
15 77 89.84
15 84 70.84
16 19 77.55
16 20 60.54
16 28 85.79
16 31 74.76
16 36 48.83
16 58 30.43
16 61 77.31
16 70 97.45
16 90 33.88
16 99 85.65
17 19 88.90
17 29 76.21
17 45 77.20
17 58 94.86
17 61 52.75
17 79 87.52
17 81 78.87
17 98 42.10
18 34 41.23
18 37 74.72
18 51 87.62
18 80 75.54
19 25 91.73
19 28 19.39
19 31 34.84
19 58 71.11
19 61 79.64
19 70 77.79
19 81 64.80
19 85 51.21
19 90 99.45
19 96 79.22
19 99 28.69
20 36 22.84
20 58 49.55
20 61 69.59
20 79 92.45
20 90 26.66
21 35 68.49
21 40 87.66
21 49 89.15
21 57 27.03
21 60 97.05
21 82 39.76
21 89 48.66
21 91 66.97
21 93 68.32
21 95 52.36
22 38 87.12
22 39 65.74
22 59 8.44
22 63 83.03
22 64 55.43
22 67 11.31
22 68 73.64
22 72 96.15
22 77 39.10
22 94 78.15
23 30 12.30
23 55 69.75
23 66 35.58
23 73 29.49
23 87 66.80
24 48 58.60
24 49 35.24
24 57 90.43
24 60 19.39
24 86 37.01
24 89 92.32
25 28 72.50
25 31 63.96
25 40 97.33
25 70 38.59
25 85 40.99
25 88 63.86
25 96 27.15
25 99 63.26
26 33 46.46
26 35 91.22
26 42 37.99
26 46 38.54
26 75 66.71
26 81 68.17
26 98 78.32
27 39 95.55
27 43 94.12
27 44 59.33
27 46 86.54
27 47 46.90
27 68 85.30
27 75 57.34
27 77 97.84
27 78 78.46
28 31 22.44
28 58 85.29
28 61 98.67
28 70 62.01
28 81 69.87
28 85 31.83
28 88 95.42
28 96 60.20
28 99 10.60
29 32 34.40
29 45 67.71
29 54 88.46
29 61 81.06
29 76 95.45
29 79 32.06
29 98 99.30
30 55 57.85
30 66 47.10
30 73 36.88
30 87 55.84
31 58 82.10
31 70 43.23
31 81 92.30
31 85 30.29
31 96 60.57
31 99 14.56
32 61 86.32
32 79 15.24
33 35 51.10
33 42 19.83
33 46 62.09
33 75 75.26
33 81 88.66
33 82 78.46
33 93 82.64
34 54 88.62
34 55 82.50
34 80 65.29
34 87 95.95
35 40 73.67
35 42 53.31
35 57 93.70
35 82 31.25
35 88 83.23
35 91 75.76
35 93 81.68
36 58 50.59
36 61 83.91
36 90 20.83
37 43 86.38
37 51 40.15
37 52 91.07
37 62 77.08
37 65 86.33
37 97 66.15
38 47 77.02
38 50 72.79
38 53 30.50
38 59 82.87
38 63 4.19
38 67 79.09
38 72 15.42
38 77 72.41
38 83 71.30
38 92 47.81
38 93 92.37
39 47 99.59
39 56 69.83
39 59 73.61
39 67 60.51
39 68 10.89
39 77 46.97
40 57 96.32
40 82 63.35
40 88 37.72
40 89 83.10
40 91 27.32
40 96 81.80
41 56 89.18
41 65 68.62
41 71 16.76
41 74 36.34
41 84 84.29
41 97 91.77
42 46 65.60
42 75 85.32
42 81 68.88
42 82 83.91
43 44 64.84
43 52 34.52
43 56 75.54
43 62 30.65
43 65 92.04
43 78 72.52
43 97 99.29
44 46 81.24
44 52 95.00
44 62 95.06
44 75 67.48
44 78 20.30
45 54 25.13
45 79 98.95
45 80 55.52
45 98 65.79
46 47 98.71
46 75 30.15
46 78 81.37
46 98 97.25
47 53 95.07
47 63 78.02
47 68 92.41
47 72 90.47
47 75 70.38
47 77 78.94
47 93 91.54
48 49 42.05
48 50 97.59
48 60 53.86
48 83 73.43
48 86 80.78
48 92 96.14
48 95 85.47
49 57 67.39
49 60 18.54
49 83 99.94
49 86 71.00
49 89 79.85
49 95 71.77
50 53 59.66
50 63 72.69
50 72 58.84
50 83 33.95
50 92 35.06
51 97 83.61
52 56 46.65
52 62 14.19
52 65 63.97
52 71 98.95
52 74 87.76
52 97 79.05
53 63 33.82
53 72 18.91
53 83 45.81
53 92 25.78
53 93 77.87
53 95 78.13
54 80 30.55
54 98 82.47
55 73 91.90
55 76 47.30
55 87 13.53
56 62 60.24
56 65 77.37
56 68 65.71
56 71 73.78
56 74 83.16
57 60 72.36
57 82 63.21
57 89 29.50
57 91 70.95
57 93 88.59
57 95 56.58
58 61 47.03
58 90 29.76
58 99 88.84
59 63 78.72
59 64 54.00
59 67 15.20
59 68 81.15
59 72 90.90
59 77 43.07
59 94 80.01
60 86 56.40
60 89 77.82
60 95 87.74
61 79 71.08
61 90 66.77
61 98 94.71
62 65 61.54
62 74 89.45
62 97 71.61
63 67 75.12
63 72 17.28
63 77 69.19
63 83 73.12
63 92 49.48
63 93 96.46
64 67 66.72
64 77 94.27
64 94 35.42
65 71 67.17
65 74 33.85
65 97 28.80
66 73 22.14
67 68 67.24
67 72 89.30
67 77 28.20
67 94 88.91
68 77 49.56
69 84 77.49
70 85 41.91
70 88 98.58
70 96 54.80
70 99 51.45
71 74 39.95
71 84 76.44
71 97 93.41
72 77 85.90
72 83 55.94
72 92 32.40
72 93 91.89
72 95 96.85
73 87 91.92
74 97 55.43
75 78 75.06
76 87 47.09
78 80 94.31
81 85 88.26
81 96 99.96
81 98 73.02
81 99 79.10
82 88 86.67
82 89 72.37
82 91 54.50
82 93 77.14
82 95 84.91
83 92 23.70
83 95 80.52
84 94 95.01
85 88 72.10
85 96 30.59
85 99 23.69
88 91 64.97
88 96 44.67
88 99 92.18
89 91 55.80
89 95 85.98
92 93 97.82
92 95 85.35
93 95 50.35
96 99 53.73
